epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4014,0.28422,1.01287,0.94689,0.4895,0.56381,0.46237,0.3644,0.80809,4.40945,0.72778,0.0701007,0.00332215,0.00332215
2,79.7101,0.25702,0.80694,0.92254,0.4447,0.90065,0.7258,0.71363,0.46826,1.12587,0.61964,0.0400408,0.00659558,0.00659558
3,120.039,0.23735,0.77611,0.92358,0.67234,0.55387,0.53017,0.40935,0.5149,2.12957,0.55877,0.00992087,0.00980902,0.00980902
4,155.508,0.21739,0.72136,0.9139,0.24577,0.99477,0.71726,0.70096,0.26402,2.50483,0.38209,0.00973,0.00973,0.00973
5,194.982,0.1989,0.69972,0.91341,0.60014,0.78784,0.73129,0.67139,0.2515,0.91094,0.39335,0.00964,0.00964,0.00964
6,233.033,0.17271,0.64907,0.90309,0.72854,0.8602,0.90386,0.90044,0.20392,0.88656,0.33883,0.00955,0.00955,0.00955
7,266.789,0.15839,0.63163,0.89718,0.79238,0.87682,0.94625,0.94512,0.24116,0.65061,0.34778,0.00946,0.00946,0.00946
8,301.414,0.14644,0.59801,0.89357,0.66534,0.76227,0.80016,0.79439,0.30505,1.43201,0.41972,0.00937,0.00937,0.00937
9,334.98,0.14756,0.59539,0.89575,0.70846,0.89025,0.91717,0.8934,0.27561,0.63742,0.35781,0.00928,0.00928,0.00928
10,369.379,0.135,0.57185,0.89327,0.75056,0.89642,0.89334,0.89012,0.22919,0.64686,0.34583,0.00919,0.00919,0.00919
11,405.145,0.13036,0.54086,0.88786,0.73936,0.90744,0.92592,0.92121,0.2085,0.78575,0.36302,0.0091,0.0091,0.0091
12,439.37,0.12046,0.52361,0.88936,0.83134,0.8611,0.92341,0.91397,0.17441,0.62989,0.28882,0.00901,0.00901,0.00901
13,473.871,0.11627,0.52127,0.89052,0.83482,0.87208,0.92704,0.92194,0.22917,0.63719,0.34013,0.00892,0.00892,0.00892
14,507.299,0.11558,0.51417,0.88931,0.90059,0.92404,0.97055,0.96874,0.20585,0.44178,0.30376,0.00883,0.00883,0.00883
15,542.042,0.11412,0.49052,0.887,0.78776,0.87225,0.94316,0.94043,0.1694,0.73079,0.28699,0.00874,0.00874,0.00874
16,575.672,0.1085,0.48901,0.88453,0.81409,0.88327,0.94111,0.93364,0.20684,0.58413,0.31377,0.00865,0.00865,0.00865
17,620.063,0.10372,0.47614,0.88573,0.86293,0.85826,0.95087,0.94757,0.18826,0.64546,0.29738,0.00856,0.00856,0.00856
18,669.423,0.10756,0.47574,0.88683,0.92079,0.94981,0.97808,0.97735,0.14915,0.30535,0.26457,0.00847,0.00847,0.00847
19,703.801,0.10607,0.4818,0.88715,0.9119,0.93646,0.9764,0.97502,0.15181,0.38376,0.29159,0.00838,0.00838,0.00838
20,750.938,0.09696,0.44996,0.88453,0.92909,0.96015,0.98982,0.98555,0.21408,0.33547,0.33037,0.00829,0.00829,0.00829
