epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.138,1.99767,3.63108,1.89406,0.50766,0.52344,0.45085,0.25562,1.92529,2.20939,1.7474,0.081475,0.000975,0.000975
2,23.4656,1.37619,1.52557,1.29292,0.49737,0.66406,0.45206,0.32531,1.37533,2.85135,1.27384,0.0624745,0.00197451,0.00197451
3,34.545,1.38705,1.46228,1.26719,0.48643,0.72049,0.49468,0.34979,1.26935,3.74414,1.24544,0.0434721,0.00297207,0.00297207
4,45.5863,1.34441,1.37578,1.26996,0.35961,0.71528,0.32693,0.19773,1.52722,2.91918,1.32691,0.0244662,0.00396619,0.00396619
5,56.4621,1.29548,1.35073,1.20701,0.39289,0.59248,0.39627,0.21054,2.07437,2.56687,1.67482,0.0054554,0.0049554,0.0049554
6,67.4084,1.21753,1.23689,1.17107,0.45428,0.45747,0.40039,0.25187,2.25554,4.1239,2.17758,0.00496925,0.00496925,0.00496925
7,78.4802,1.24039,1.22331,1.18229,0.42312,0.91927,0.54935,0.33126,1.46722,1.64619,1.28323,0.00495576,0.00495576,0.00495576
8,89.674,1.21072,1.19644,1.15756,0.47471,0.86024,0.50647,0.25713,1.83651,1.36671,1.49697,0.00493985,0.00493985,0.00493985
9,100.723,1.21081,1.17643,1.14255,0.48466,0.96267,0.58424,0.35758,1.46554,1.20535,1.2412,0.00492154,0.00492154,0.00492154
10,111.786,1.1743,1.15719,1.12943,0.55664,0.90017,0.67085,0.44099,1.3668,1.05177,1.1679,0.00490083,0.00490083,0.00490083
11,122.727,1.15399,1.14925,1.13896,0.53125,0.63281,0.52949,0.34436,1.45502,1.40004,1.25387,0.00487776,0.00487776,0.00487776
12,133.682,1.11678,1.19463,1.09877,0.53314,0.82552,0.6729,0.39807,1.52977,1.111,1.2578,0.00485235,0.00485235,0.00485235
13,144.7,1.10443,1.15425,1.09933,0.54119,0.54861,0.54322,0.32729,1.47184,1.12856,1.21715,0.00482462,0.00482462,0.00482462
14,155.969,1.0369,1.08102,1.06736,0.51751,0.81205,0.58964,0.36856,1.5359,1.88891,1.23076,0.00479459,0.00479459,0.00479459
15,166.992,1.10601,1.09312,1.1003,0.52623,0.9401,0.70825,0.48627,1.15757,0.98029,1.09493,0.00476231,0.00476231,0.00476231
